migration_rate,trial_id,Step,Behavior,Count,Prevalence
0.175,152,8,Cooperate,4,0.009070294784580499
0.175,153,10,Cooperate,5,0.011337868480725623
0.175,154,10,Cooperate,4,0.009070294784580499
0.175,155,16,Cooperate,2,0.0045351473922902496
0.175,156,8,Cooperate,5,0.011337868480725623
0.175,157,9,Cooperate,8,0.018140589569160998
0.175,158,16,Cooperate,3,0.006802721088435374
0.175,159,12,Cooperate,6,0.013605442176870748
0.175,160,14,Cooperate,12,0.027210884353741496
0.2,161,8,Cooperate,2,0.0045351473922902496
0.2,162,9,Cooperate,3,0.006802721088435374
0.2,163,18,Cooperate,3,0.006802721088435374
0.2,164,12,Cooperate,5,0.011337868480725623
0.2,165,14,Cooperate,3,0.006802721088435374
0.2,166,6,Cooperate,9,0.02040816326530612
0.2,167,13,Cooperate,1,0.0022675736961451248
0.2,168,19,Cooperate,6,0.013605442176870748
0.2,169,10,Cooperate,3,0.006802721088435374
0.2,170,5,Cooperate,9,0.02040816326530612
0.2,171,14,Cooperate,5,0.011337868480725623
0.2,172,6,Cooperate,3,0.006802721088435374
0.2,173,23,Cooperate,7,0.015873015873015872
0.2,174,11,Cooperate,3,0.006802721088435374
0.2,175,13,Cooperate,3,0.006802721088435374
0.2,176,7,Cooperate,3,0.006802721088435374
0.2,177,8,Cooperate,2,0.0045351473922902496
0.2,178,11,Cooperate,1,0.0022675736961451248
0.2,179,13,Cooperate,3,0.006802721088435374
0.2,180,9,Cooperate,3,0.006802721088435374
